Date,AAPL,ABBV,ABT,ACN,ADBE,ADP,AMAT,AMD,AMGN,AMT,AMZN,APH,BA,BAC,BKNG,BLK,BMY,BSX,BX,C,CAT,CB,CDNS,CI,CMCSA,COP,COR,COST,CSCO,CVS,CVX,DE,DHR,DIS,EOG,ETN,GE,GILD,GOOGL,GS,HD,HON,IBM,INTU,ISRG,ITW,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,META,MO,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PLTR,PM,QCOM,REGN,SBUX,SCHW,SHW,SLB,SNPS,SO,SPGI,SYK,T,TJX,TMO,TSLA,TXN,UNH,UNP,V,VZ,WFC,WM,WMT,XOM,ZTS
2006-08-01,2.011061906814575,20.415756225585938,14.429661750793457,19.7477970123291,28.34000015258789,20.96443748474121,11.286108016967773,19.100000381469727,47.03263473510742,24.051517486572266,1.315999984741211,2.9778268337249756,56.0450553894043,33.91136169433594,1.0187594890594482,78.62899017333984,11.202558517456055,17.260000228881836,12.881589889526367,315.89105224609375,42.409305572509766,34.26145553588867,15.890000343322754,27.63987159729004,7.068170070648193,26.863204956054688,13.8712797164917,35.60200500488281,11.207572937011719,21.34342384338379,30.669160842895508,24.41288948059082,12.756767272949219,23.350242614746094,24.283437728881836,19.05007553100586,97.27513885498047,10.416584968566895,9.314554214477539,109.79481506347656,20.564926147460938,23.28668785095215,39.01228713989258,26.162521362304688,10.7122220993042,27.825973510742188,35.12043762207031,27.310136795043945,2.202683687210083,12.07271957397461,37.14017868041992,31.866344451904297,45.005680084228516,19.806415557861328,3.351158618927002,4.069322109222412,19.991127014160156,12.775923728942871,37.89719772338867,5.504819869995117,19.392255783081055,35.52873229980469,16.775236129760742,14.99760913848877,6.0207438468933105,0.29285699129104614,7.476952075958252,4.920000076293945,0.32431691884994507,11.695536613464355,8.854999542236328,35.18085861206055,10.20612621307373,31.734657287597656,9.5,21.147106170654297,21.694725036621094,13.101787567138672,12.157383918762207,11.812515258789062,12.64610481262207,43.36296844482422,17.530000686645508,14.124591827392578,37.57816696166992,36.38028335571289,5.565412521362305,4.733327865600586,35.10237503051758,1.5926669836044312,17.967226028442383,36.70180130004883,13.77859878540039,12.416171073913574,10.680270195007324,21.114564895629883,19.989877700805664,9.832898139953613,34.43561935424805,27.60474967956543
2006-08-02,2.0403990745544434,20.415756225585938,14.320322036743164,19.934951782226562,32.279998779296875,21.796405792236328,11.37365436553955,19.600000381469727,47.50927734375,24.38138771057129,1.3044999837875366,3.0560624599456787,56.367671966552734,34.19432067871094,1.0148425102233887,78.5919189453125,11.15078067779541,17.6200008392334,12.881589889526367,317.2585754394531,43.042015075683594,34.16105651855469,16.100000381469727,30.45575714111328,7.202547073364258,27.0040340423584,13.932551383972168,35.73147201538086,11.207572937011719,21.597192764282227,30.539525985717773,24.826662063598633,12.712831497192383,23.708250045776367,24.076068878173828,19.277673721313477,97.39457702636719,10.569290161132812,9.10916805267334,108.80762481689453,20.546865463256836,23.202564239501953,39.10451889038086,26.37238311767578,10.881111145019531,28.129100799560547,35.3837776184082,27.298139572143555,2.226065158843994,12.07271957397461,37.73667907714844,32.228675842285156,45.65510940551758,20.05267906188965,3.440239906311035,4.52327823638916,20.281770706176758,12.768051147460938,37.89719772338867,5.517234802246094,19.49201202392578,35.684974670410156,16.99200439453125,15.280400276184082,5.998547077178955,0.2977139949798584,7.423737525939941,4.920000076293945,0.3491933047771454,11.759057998657227,8.854999542236328,35.197566986083984,10.056902885437012,33.07371520996094,9.5,21.147106170654297,21.625507354736328,13.478673934936523,12.282794952392578,11.857061386108398,12.898162841796875,43.66798782348633,17.889999389648438,14.145278930664062,38.46401596069336,37.15956115722656,5.718759536743164,4.645033836364746,35.2063102722168,1.5926669836044312,18.145973205566406,37.27743148803711,14.047073364257812,12.416171073913574,10.763727188110352,21.237760543823242,20.587383270263672,9.895343780517578,34.587158203125,27.60474967956543
2006-08-03,2.0832066535949707,20.415756225585938,14.341577529907227,20.177547454833984,32.529998779296875,22.21481704711914,11.461198806762695,20.450000762939453,47.60995864868164,24.37421989440918,1.3344999551773071,3.072904109954834,56.92691421508789,34.20091247558594,1.0406935214996338,79.27153015136719,11.197851181030273,16.270000457763672,12.881589889526367,318.8372497558594,44.24658203125,34.09414291381836,15.989999771118164,30.43189811706543,7.202547073364258,26.906230926513672,13.974480628967285,34.75027847290039,11.258866310119629,22.059202194213867,30.321950912475586,25.096817016601562,12.880600929260254,23.899188995361328,23.576318740844727,19.64828109741211,97.78296661376953,10.649935722351074,9.311575889587402,110.40453338623047,20.823949813842773,23.148479461669922,39.10962677001953,26.827083587646484,10.912221908569336,28.704416275024414,35.34453582763672,27.400144577026367,2.256354570388794,11.993714332580566,38.175472259521484,32.06449890136719,45.66072463989258,20.411510467529297,3.508960008621216,4.520565986633301,20.42423439025879,12.787731170654297,37.89719772338867,5.528954982757568,19.758056640625,36.53091049194336,16.929067611694336,15.407167434692383,6.036002159118652,0.29128599166870117,7.425638675689697,4.920000076293945,0.3711705505847931,11.727299690246582,8.854999542236328,34.99708938598633,10.0176362991333,33.73189926147461,9.5,21.147106170654297,21.93381690979004,13.84564208984375,11.301644325256348,11.909038543701172,13.173354148864746,43.62903594970703,17.989999771118164,13.960371017456055,38.18428421020508,36.8255615234375,5.778602123260498,4.90799617767334,35.6505241394043,1.5926669836044312,18.651399612426758,36.66343307495117,14.405058860778809,12.416171073913574,10.75089168548584,21.31110382080078,20.824016571044922,9.975627899169922,34.53158187866211,27.60474967956543
2006-08-04,2.0445897579193115,20.415756225585938,14.347652435302734,19.983463287353516,31.719999313354492,22.433752059936523,11.30799388885498,20.469999313354492,46.180057525634766,23.850732803344727,1.3645000457763672,3.091920852661133,56.99144744873047,34.43124008178711,1.0344264507293701,78.5610122680664,10.708329200744629,15.949999809265137,12.881589889526367,319.03460693359375,44.471675872802734,33.920169830322266,15.869999885559082,31.33274269104004,7.202547073364258,26.804527282714844,13.777748107910156,35.28175735473633,11.053693771362305,21.994131088256836,30.39603042602539,25.00448226928711,13.10629653930664,23.78781509399414,23.657909393310547,19.566926956176758,97.99213409423828,10.522963523864746,9.27337646484375,111.05054473876953,20.908283233642578,22.93813133239746,38.894447326660156,26.39861297607422,11.0600004196167,28.77866554260254,35.59669876098633,27.076095581054688,2.23297381401062,11.947392463684082,37.83266067504883,31.85502052307129,46.76921081542969,20.24968719482422,3.351158618927002,4.525991439819336,20.179180145263672,12.783790588378906,37.89719772338867,5.510336399078369,19.644039154052734,36.47163772583008,16.985017776489258,15.34865951538086,6.097043037414551,0.2994289994239807,7.475048065185547,4.920000076293945,0.36613401770591736,11.608199119567871,8.854999542236328,35.18085861206055,10.202199935913086,33.73189926147461,9.5,21.147106170654297,22.216955184936523,13.885315895080566,11.290580749511719,12.05780029296875,13.253079414367676,42.279212951660156,17.860000610351562,14.119340896606445,38.11769485473633,36.80171585083008,5.791694164276123,4.950223922729492,35.63164520263672,1.5926669836044312,18.5096378326416,37.269752502441406,13.896270751953125,12.416171073913574,10.840775489807129,21.413768768310547,20.81218147277832,10.006852149963379,34.69321060180664,27.60474967956543
2006-08-07,2.0119597911834717,20.415756225585938,14.378026008605957,19.962671279907227,31.790000915527344,22.20509147644043,11.235041618347168,20.219999313354492,45.56245040893555,24.202104568481445,1.3389999866485596,3.075078248977661,57.17782974243164,34.32594299316406,1.0344264507293701,78.25206756591797,10.717748641967773,15.8100004196167,12.881589889526367,317.2585144042969,44.52033615112305,33.53874206542969,15.800000190734863,31.529621124267578,7.161198616027832,26.448522567749023,13.92609977722168,35.07053756713867,11.162694931030273,21.785900115966797,30.93766212463379,24.980545043945312,12.948511123657227,23.382064819335938,23.763294219970703,19.47051239013672,97.66352081298828,10.6259126663208,9.375077247619629,110.80377197265625,20.8962345123291,23.01625633239746,38.694610595703125,26.04010772705078,10.79444408416748,28.66730499267578,35.451011657714844,27.166107177734375,2.2154366970062256,11.881999015808105,37.49668502807617,31.46442222595215,45.45915985107422,20.158218383789062,3.3537044525146484,4.620943069458008,20.24756622314453,12.882189750671387,37.89719772338867,5.455166339874268,19.401748657226562,36.17530059814453,16.936059951782227,15.124378204345703,5.995773792266846,0.295428991317749,7.403783798217773,4.920000076293945,0.3618614077568054,11.608199119567871,8.854999542236328,35.1752815246582,10.229686737060547,33.70351791381836,9.5,21.147106170654297,21.77022361755371,13.974577903747559,11.360654830932617,11.879280090332031,13.044757843017578,42.986576080322266,17.719999313354492,13.880884170532227,37.60483169555664,36.72220230102539,5.75803279876709,4.952141284942627,35.58437728881836,1.5926669836044312,18.47881317138672,37.21601867675781,13.422285079956055,12.416171073913574,10.689901351928711,21.23189926147461,20.451322555541992,9.995699882507324,34.965946197509766,27.60474967956543
2006-08-08,1.939215898513794,20.415756225585938,14.478254318237305,19.817110061645508,31.950000762939453,22.136964797973633,11.125605583190918,20.1200008392334,44.99180603027344,24.83316421508789,1.3179999589920044,3.045196294784546,56.03071212768555,34.260135650634766,1.2083324193954468,77.49827575683594,9.983457565307617,15.800000190734863,12.881589889526367,317.7847595214844,43.55912780761719,33.09708023071289,15.600000381469727,32.0665397644043,7.0805745124816895,26.456356048583984,13.684216499328613,35.20000076293945,11.08575439453125,22.059202194213867,31.10894012451172,24.70697593688965,12.898581504821777,23.055879592895508,23.508325576782227,19.371076583862305,96.61784362792969,10.565858840942383,9.45073413848877,109.93273162841797,20.67938995361328,22.799922943115234,38.751190185546875,25.821504592895508,10.792222023010254,27.937335968017578,35.61351013183594,26.998090744018555,2.224470376968384,11.936500549316406,37.44185256958008,31.220991134643555,46.48366165161133,19.918991088867188,3.311284065246582,4.753873348236084,20.036724090576172,13.008138656616211,37.89719772338867,5.537923336029053,19.468259811401367,35.71193313598633,17.019975662231445,15.065868377685547,6.040161609649658,0.28999999165534973,7.326822757720947,4.920000076293945,0.371476411819458,11.751118659973145,8.854999542236328,35.43147277832031,10.272887229919434,33.885108947753906,9.5,21.147106170654297,21.304611206054688,14.113431930541992,11.19098949432373,11.693321228027344,13.103909492492676,42.22730255126953,17.540000915527344,14.00220775604248,37.81797790527344,37.41401290893555,5.743071556091309,4.915575981140137,35.43315124511719,1.5926669836044312,18.61441421508789,37.92980194091797,13.39079761505127,12.416171073913574,10.76694393157959,20.9649715423584,20.61104393005371,9.915413856506348,34.986141204833984,27.60474967956543
2006-08-09,1.9035934209823608,20.415756225585938,14.371944427490234,19.428953170776367,31.450000762939453,22.21968650817871,11.030762672424316,19.850000381469727,45.16636276245117,24.70408058166504,1.3105000257492065,3.0229203701019287,55.534088134765625,33.91791915893555,1.2310500144958496,76.68270111083984,9.9410982131958,15.65999984741211,12.881589889526367,314.62725830078125,41.68534851074219,32.78257369995117,15.670000076293945,32.045658111572266,7.103318691253662,26.953174591064453,13.839027404785156,34.20518493652344,12.682251930236816,21.59069061279297,31.238557815551758,24.0640811920166,12.602981567382812,22.936540603637695,23.90608024597168,19.15715789794922,96.43860626220703,10.58302116394043,9.350024223327637,108.88744354248047,20.119184494018555,22.307147979736328,38.782073974609375,26.223731994628906,10.649999618530273,27.225893020629883,35.479034423828125,26.614028930664062,2.201619863510132,11.920148849487305,37.174468994140625,31.136058807373047,45.54875183105469,19.271678924560547,3.3749141693115234,4.779192924499512,19.58082389831543,13.126221656799316,37.89719772338867,5.5282697677612305,19.6962890625,34.849849700927734,17.089889526367188,15.182886123657227,6.055422782897949,0.2879999876022339,7.304966449737549,4.920000076293945,0.37132352590560913,11.870214462280273,8.854999542236328,34.99708938598633,10.364046096801758,33.78295135498047,9.5,21.147106170654297,21.09697723388672,14.133268356323242,10.899593353271484,11.730506896972656,12.689831733703613,41.94175720214844,17.59000015258789,13.947820663452148,37.84461975097656,37.50944519042969,5.6551737785339355,4.877081871032715,35.24412155151367,1.5926669836044312,18.79316520690918,37.592105865478516,13.070942878723145,12.416171073913574,10.860042572021484,20.454553604125977,20.031291961669922,9.790523529052734,34.99624252319336,27.60474967956543
2006-08-10,1.9179620742797852,20.415756225585938,14.49343490600586,19.442808151245117,32.20000076293945,22.35104751586914,11.256924629211426,20.010000228881836,44.91798400878906,24.768617630004883,1.3244999647140503,3.08648681640625,54.84313201904297,33.9047737121582,1.2126407623291016,77.78866577148438,9.804597854614258,15.699999809265137,12.881589889526367,315.5482177734375,41.56367492675781,33.331298828125,16.010000228881836,32.409584045410156,6.999948024749756,26.640213012695312,13.948676109313965,34.92744064331055,12.541193962097168,21.994131088256836,31.178363800048828,23.95807456970215,12.662899017333984,23.53322982788086,23.763294219970703,19.374088287353516,97.60372924804688,10.613903045654297,9.28205680847168,110.06340026855469,20.245670318603516,22.379253387451172,38.96211624145508,26.494796752929688,10.602222442626953,27.59088134765625,35.60789489746094,26.43400001525879,2.2037456035614014,11.961019515991211,36.673973083496094,31.300241470336914,46.1309928894043,19.714956283569336,3.417332649230957,4.843398094177246,19.871456146240234,13.283653259277344,37.89719772338867,5.5558552742004395,19.634532928466797,35.146175384521484,17.1038875579834,15.602193832397461,6.016580581665039,0.2878569960594177,7.240353107452393,4.920000076293945,0.3687291741371155,12.01313304901123,8.854999542236328,35.197566986083984,10.292707443237305,34.19149398803711,9.5,21.147106170654297,21.329790115356445,13.796052932739258,11.050824165344238,11.871840476989746,12.756699562072754,41.74058532714844,17.809999465942383,13.98128604888916,37.86457061767578,37.429935455322266,5.6514363288879395,5.017581462860107,36.028587341308594,1.5926669836044312,19.2492733001709,36.37944793701172,13.326165199279785,12.416171073913574,10.895349502563477,20.372417449951172,20.338926315307617,10.011314392089844,35.18397903442383,27.60474967956543
2006-08-11,1.9053901433944702,20.415756225585938,14.399284362792969,19.179418563842773,31.850000381469727,22.433752059936523,11.067241668701172,19.780000686645508,44.57560729980469,24.481775283813477,1.3035000562667847,3.064211845397949,54.6704216003418,33.82579040527344,1.2110739946365356,77.45503234863281,9.526885032653809,16.299999237060547,12.881589889526367,313.37744140625,40.778865814208984,32.99671173095703,15.949999809265137,31.601205825805664,7.103318691253662,26.7497615814209,13.968027114868164,34.57994842529297,12.528376579284668,22.104747772216797,31.409841537475586,23.61952781677246,12.658896446228027,23.41389274597168,23.164979934692383,19.434354782104492,97.09587097167969,10.646499633789062,9.140669822692871,109.6859130859375,20.040870666503906,22.511472702026367,38.828365325927734,26.503549575805664,10.48888874053955,27.392932891845703,35.56309127807617,26.36199951171875,2.1648402214050293,11.922868728637695,36.660247802734375,30.99801254272461,45.8062629699707,19.77123260498047,3.3121328353881836,4.854249954223633,19.768888473510742,13.279711723327637,37.89719772338867,5.575162887573242,19.287729263305664,35.216224670410156,17.082910537719727,15.34865951538086,6.054037570953369,0.2840000092983246,7.269809722900391,4.920000076293945,0.35712987184524536,11.901973724365234,8.854999542236328,35.269962310791016,10.233253479003906,34.19149398803711,9.5,21.147106170654297,20.958553314208984,13.796052932739258,11.028694152832031,11.797456741333008,12.730981826782227,41.506954193115234,17.649999618530273,13.972917556762695,38.017784118652344,37.040279388427734,5.6514363288879395,5.142683982849121,35.92462921142578,1.5926669836044312,18.81165313720703,36.50992965698242,13.127290725708008,12.416171073913574,10.937081336975098,20.41348648071289,20.037216186523438,9.966703414916992,35.38187789916992,27.60474967956543
2006-08-14,1.914070725440979,20.415756225585938,14.566326141357422,19.262592315673828,32.5099983215332,22.438617706298828,11.235041618347168,19.8700008392334,44.09897232055664,24.402896881103516,1.3265000581741333,3.1055026054382324,54.26017379760742,33.64810562133789,1.2392752170562744,76.515869140625,9.60689926147461,16.139999389648438,12.881589889526367,313.90374755859375,40.1279182434082,33.324607849121094,16.06999969482422,31.320819854736328,7.107449054718018,26.139482498168945,13.993831634521484,35.19316864013672,12.881016731262207,22.299964904785156,31.039499282836914,23.482744216918945,12.71682357788086,23.485492706298828,22.481639862060547,18.98240089416504,98.0519027709961,10.557278633117676,9.163739204406738,109.14873504638672,20.03484344482422,22.661710739135742,39.445655822753906,26.582242965698242,10.224444389343262,27.318696975708008,35.80961990356445,26.337984085083008,2.1701693534851074,11.985536575317383,36.94135665893555,31.032238006591797,46.494895935058594,19.77123260498047,3.3630361557006836,4.903985977172852,19.785985946655273,13.42927360534668,37.89719772338867,5.5558552742004395,19.420743942260742,35.038414001464844,17.152830123901367,15.397418022155762,6.083169460296631,0.28442901372909546,7.333470821380615,4.920000076293945,0.3552984297275543,12.140175819396973,8.854999542236328,35.615257263183594,10.33630084991455,33.90779495239258,9.5,21.147106170654297,21.13473892211914,13.686954498291016,11.050824165344238,11.953665733337402,12.828712463378906,40.67629623413086,17.899999618530273,14.044039726257324,37.9378547668457,36.96074295043945,5.608424186706543,5.084946632385254,36.26487731933594,1.5926669836044312,19.045873641967773,36.579010009765625,13.188606262207031,12.416171073913574,10.888928413391113,20.32841682434082,20.173269271850586,10.058147430419922,35.138309478759766,27.60474967956543
